,gene name,G1,G2,G3,C1,C2,C3,Young_mean,Aging_mean,logFC,pvalue,padj,classification
TM4SF1,TM4SF1,793.490816855788,742.294160392205,875.66558760744,361.422229445942,493.783727563771,525.620565508551,460.275507506088,803.816854951811,-0.804367815,0.00566465963269344,0.0243980477603673,Down in Young
TM4SF19-AS1,TM4SF19-AS1,26.9127082303385,25.5963503583519,23.9786722772828,5.56034199147603,9.08108004714981,15.4270186941713,10.022813577599,25.4959102886577,-1.346890943,0.00678080361323503,0.0276129101767795,Down in Young
TM4SF20,TM4SF20,1.73630375679603,1.7652655419553,0.888098973232698,0,0,0,0,1.46322275732801,-10.51591934,0.00705000260808441,0.0283063435887688,Down in Young
TMC7,TMC7,58.1661758526672,68.8453561362568,55.9502353136599,37.810325542037,39.7297252062804,42.9752663623343,40.1717723702172,60.987255767528,-0.602313429,0.00810099032366214,0.0311907025572167,Down in Young
TMCC1-DT,TMCC1-DT,72.9247577854335,90.0285426397205,83.4813034838736,50.0430779232843,32.9189151709181,34.1598271085222,39.0406067342415,82.1448679696759,-1.07317558,0.0043925617823241,0.020299916379503,Down in Young
TMCO1-AS1,TMCO1-AS1,84.2107322046077,53.8405990296367,62.1669281262888,16.6810259744281,17.0270250884059,9.91736916053869,14.5418067411242,66.7394197868444,-2.198255027,0.0050509792754954,0.0224783559093007,Down in Young
TMED2-DT,TMED2-DT,114.596047948538,111.211729143184,98.5789860288294,64.499967101122,62.4324253241549,44.0771962690609,57.0031962314459,108.128921040184,-0.923625763,0.00324677546474478,0.0164938917715291,Down in Young
TMEM102,TMEM102,109.38713667815,123.568587936871,133.214845984905,61.1637619062364,74.9189103889859,42.9752663623343,59.6859795525189,122.056856866642,-1.032077011,0.00569660932764318,0.0245015561369809,Down in Young
TMEM109,TMEM109,2607.06009082925,2765.28847147298,2554.17264701724,1189.91318617587,1258.86472153614,1239.67114506734,1229.48301759312,2642.17373643982,-1.103672899,2.93221802230748e-05,0.00132711008369774,Down in Young
TMEM116,TMEM116,396.745408427894,407.776340191675,409.413626660274,214.629200870975,209.999976090339,187.328084143509,203.985753701608,404.645125093281,-0.988185309,2.76009619859844e-05,0.0012977758889076,Down in Young
TMEM119,TMEM119,17343.9382266356,15048.006112398,15253.0998652716,6500.03978803548,8350.05310335425,7984.58410414037,7611.55899851003,15881.6814014351,-1.061099679,0.000870271518274219,0.00722512138763073,Down in Young
TMEM143,TMEM143,133.695389273295,120.920689623938,123.445757279345,78.9568562789597,74.9189103889859,63.9119345901382,72.5959004193613,126.020612058859,-0.795691312,0.000854511289725944,0.00714700540531933,Down in Young
TMEM145,TMEM145,9.54967066237819,12.3568587936871,9.76908870555967,5.56034199147603,1.13513500589373,4.40771962690609,3.70106554142528,10.5585393872083,-1.512144563,0.0128657135101556,0.0434346053436311,Down in Young
TMEM147-AS1,TMEM147-AS1,1194.57698467567,1153.60103166779,1163.40965493483,344.741203471514,321.243206667925,337.190551458316,334.391653865918,1170.52922375943,-1.807547127,4.92844525431308e-07,0.00022148614158782,Down in Young
TMEM156,TMEM156,70.3203021502394,81.2022149299439,58.614532233358,18.9051627710185,7.94594504125608,7.71350934708565,11.5215390531201,70.0456831045138,-2.603858079,0.00145133008566183,0.00987103816778292,Down in Young
TMEM158,TMEM158,1346.50356339532,1233.92061382676,1091.47363810299,164.586122947691,280.37834645575,232.507210319296,225.823893240912,1223.96593844169,-2.438288157,0.000250081397209236,0.00354460454337731,Down in Young
