,gene name,logFC,pvalue,padj,G1,G2,G3,B1,B2,B3,classification
CDH9,CDH9,0.61066810179759,7.33496509797268e-07,7.93909386891119e-06,453.212549746414,362.193807805159,471.423468542795,622.573411154697,709.124091570302,633.461237538294,Up
CDK14,CDK14,0.821061938836339,7.14417181058457e-21,3.78641105960982e-19,1012.63248488795,956.563133434137,1039.38096742338,1869.80940598474,1587.13880647643,1857.72639022173,Up
CDK2AP1,CDK2AP1,0.771465811712573,4.85372979462171e-31,5.00031633299743e-29,1597.68868546968,1542.57414042146,1573.59841686551,2719.05803563033,2683.84522595844,2643.68755531554,Up
CDKN2B,CDKN2B,0.996185269660829,6.29960606368133e-31,6.43814720101807e-29,875.295348601156,799.612483385235,810.698410118325,1774.75205629502,1558.99036925379,1624.17755011923,Up
CEMIP2,CEMIP2,1.14019084773302,1.34884316615239e-33,1.62443778864512e-31,1075.80756757987,989.996408000767,1126.54276180604,2680.40834399824,2115.46332050133,2239.50942564043,Up
CENPBD1P1,CENPBD1P1,0.515415833404849,5.44603429165747e-06,4.99469687699669e-05,385.459562511597,441.133483865257,387.073344946668,578.700788220977,573.795066461466,582.272450666513,Up
CEP170,CEP170,0.514202692300393,4.0498301933716e-09,6.35778727786832e-08,3892.13444236769,3705.52126446816,3895.10126295001,6243.49207797252,4633.66581972655,5535.85401357119,Up
CEP85L,CEP85L,1.05484843017783,8.85664183869621e-12,2.05045646612126e-10,189.525248075773,159.736756262788,202.440296630703,423.057435432302,339.946511073397,382.849468478531,Up
CERK,CERK,0.94434047869099,1.06508146002948e-20,5.59866180587628e-19,433.069769757685,463.422333576344,434.871748317807,897.299597620612,835.792059072173,828.618487486961,Up
CFH,CFH,0.608432604221951,7.41482579151656e-19,3.4209552374817e-17,3227.42270273962,3124.15376783732,3051.60002698875,4439.49160638836,5141.42032193491,4756.29144683635,Up
CH25H,CH25H,2.09451126784166,0.00478776247113718,0.0203877295666685,7.32464726862892,0.928702071295279,4.68611797756257,18.8025526858801,18.4047474148017,18.1293620170892,Up
CHI3L1,CHI3L1,0.851941287217507,0.000279941670874655,0.00174330264040417,85.1490244978112,65.9378470619648,69.3545460679261,143.108317664754,141.82481831406,113.04190434185,Up
CHN1,CHN1,0.687663139928707,8.55371228011584e-27,6.64908567907671e-25,2954.57959198319,2838.11352987837,3177.18798878742,4741.37703562277,4793.89538545542,4911.99067357135,Up
CHPF,CHPF,0.594340255983046,4.19614757157187e-17,1.66367198618179e-15,2752.23621118732,2606.86671412585,2463.9608326024,4020.61251599736,4115.08499550949,3675.9947572298,Up
CHPF2,CHPF2,1.18220857163445,5.26114261678452e-48,1.10621992135866e-45,1215.8914465924,1346.61800337815,1178.09005955923,2977.07084193102,2911.19798814129,2599.96379986256,Up
CHRNB2,CHRNB2,0.810956585747209,0.00219780470780852,0.0105419009657263,63.1750826919244,84.5118884878704,59.0450865172884,143.108317664754,132.081128506224,87.4475109059598,Up
CHST2,CHST2,0.809788151569548,8.56540253045744e-10,1.47265218305157e-08,397.362114323119,512.643543354994,398.320028092819,878.497044934732,664.736171334604,749.702441059631,Up
CHST3,CHST3,0.53634805875401,2.42416054344829e-05,0.000192641159419255,380.881657968704,396.555784443084,361.768307867831,606.904617249797,577.042963064078,468.164113264834,Up
CHSY1,CHSY1,0.673100298840062,4.85504771808337e-13,1.30001757895903e-11,753.5230878,735.532040465861,825.693987646525,1334.98124069749,1176.82120234644,1178.4085311108,Up
CHSY3,CHSY3,1.27213594238868,0.000569446756000061,0.00325332921712997,18.3116181715723,26.9323600675631,34.677273033963,62.6751756196004,81.1974150653018,49.0559207521238,Up
CICP14,CICP14,0.616340491914445,0.000797022174392045,0.00437798989668196,144.661783555421,170.881181118331,132.148526967265,199.515975722395,264.162257012448,222.884509504215,Up
CKLF,CKLF,1.1897679166843,0.0103148361613884,0.0389512994570785,13.7337136286792,19.5027434972009,15.9328011237127,24.0254839875135,50.8837134409224,37.3251570940072,Up
CLCN5,CLCN5,0.551279632557788,1.46788532777969e-05,0.00012289227946542,283.830081659371,326.903129095938,328.965482024893,440.815401857856,488.267122592681,447.901885128087,Up
CLDN11,CLDN11,1.4455528407057,7.58402111900239e-30,7.07437489980543e-28,471.524167917987,464.351035647639,392.696686519744,958.930186979886,1346.79445788314,1313.84552970905,Up
CLEC11A,CLEC11A,0.710117633712949,6.24224084328758e-16,2.22706484161353e-14,1126.1645175517,1306.68381431246,1209.01843821114,1970.0896869761,2166.34703394225,1821.46766618755,Up
